,Name,ISIN,Country,Currency,Exchange,Type of Security,Rating,Primary Listing,Industry Classification,Weighting
494,EIFFAGE SA,FR0000130452,France,EUR,Euronext Paris,Equities,-,CAC 40 Index,Industrials,0.04%
495,MARKS AND SPENCER GROUP PLC,GB0031274896,United Kingdom,GBP,London Stock Exchange,Equities,Baa3,FTSE 100 Index,Consumer Staples,0.04%
496,AKZO NOBEL NV,NL0013267909,Netherlands,EUR,Euronext Amsterdam,Equities,-,Amsterdam Exchanges Index,Materials,0.04%
497,AEGON LTD,BMG0112X1056,Netherlands,EUR,Euronext Amsterdam,Equities,-,Amsterdam Exchanges Index,Financials,0.04%
498,SMITHS GROUP PLC,GB00B1WY2338,United Kingdom,GBP,London Stock Exchange,Equities,Baa2,FTSE 100 Index,Industrials,0.04%
499,POWER ASSETS HOLDINGS LTD,HK0006000050,Hong Kong,HKD,-,Equities,-,Hang Seng Index,Utilities,0.04%
500,FORTUM,FI0009007132,Finland,EUR,Helsinki Stock Exchange,Equities,A2,OMX Helsinki Index,Utilities,0.04%
501,GEA GROUP AG,DE0006602006,Germany,EUR,XETRA,Equities,Baa3,DAX Index,Industrials,0.04%
502,YOKOHAMA FINANCIAL GROUP INC,JP3305990008,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Financials,0.04%
503,OERSTED,DK0060094928,Denmark,DKK,Copenhagen Stock Exchange,Equities,-,OMX COPENHAGEN 20 Index,Utilities,0.04%
504,THE SAGE GROUP PLC,GB00B8C3BL03,United Kingdom,GBP,London Stock Exchange,Equities,B1,FTSE 100 Index,Information Technology,0.04%
505,PAN PACIFIC INTERNATIONAL HOLDINGS,JP3639650005,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Consumer Discretionary,0.04%
506,CHECK POINT SOFTWARE TECHNOLOGIES,IL0010824113,Israel,USD,NASDAQ National Market System,Equities,-,NASDAQ Composite Index,Information Technology,0.04%
507,ATKINSREALIS GROUP INC,CA04764T1049,Canada,CAD,-,Equities,-,-,Industrials,0.04%
508,M&G PLC,GB00BKFB1C65,United Kingdom,GBP,-,Equities,-,-,Financials,0.04%
