Fund Holdings as of,"06/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"1209","CHINA RESOURCES MIXC LIFESTYLE SER","Real Estate","Equity","3,680,199.93","0.14","3,680,199.93","741,600.00","4.96","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"600183","SHENGYI TECHNOLOGY LTD A","Information Technology","Equity","3,657,913.38","0.14","3,657,913.38","161,200.00","22.69","China","Shanghai Stock Exchange","CNY"
"6881","CHINA GALAXY SECURITIES LTD H","Financials","Equity","3,606,361.25","0.13","3,606,361.25","3,817,000.00","0.94","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"TAL","TAL EDUCATION GROUP ADR REPTG","Consumer Discretionary","Equity","3,599,440.83","0.13","3,599,440.83","363,213.00","9.91","China","New York Stock Exchange Inc.","USD"
"135","KUNLUN ENERGY LTD","Utilities","Equity","3,596,840.41","0.13","3,596,840.41","4,242,000.00","0.85","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"601166","INDUSTRIAL BANK LTD A","Financials","Equity","3,576,779.01","0.13","3,576,779.01","1,421,200.00","2.52","China","Shanghai Stock Exchange","CNY"
"600030","CITIC SECURITIES LTD A","Financials","Equity","3,496,399.87","0.13","3,496,399.87","813,215.00","4.30","China","Shanghai Stock Exchange","CNY"
"600276","JIANGSU HENGRUI MEDICINE LTD A","Health Care","Equity","3,466,247.53","0.13","3,466,247.53","415,101.00","8.35","China","Shanghai Stock Exchange","CNY"
"601328","BANK OF COMMUNICATIONS LTD A","Financials","Equity","3,381,775.40","0.13","3,381,775.40","3,462,500.00","0.98","China","Shanghai Stock Exchange","CNY"
"1772","GANFENG LITHIUM LTD H","Materials","Equity","3,320,796.14","0.12","3,320,796.14","527,000.00","6.30","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3888","KINGSOFT LTD","Communication","Equity","3,301,851.38","0.12","3,301,851.38","1,122,000.00","2.94","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2268","WUXI XDC CAYMAN INC","Health Care","Equity","3,276,540.27","0.12","3,276,540.27","405,000.00","8.09","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1099","SINOPHARM GROUP LTD H","Health Care","Equity","3,273,551.28","0.12","3,273,551.28","1,489,200.00","2.20","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"300059","EAST MONEY INFORMATION LTD A","Financials","Equity","3,207,185.06","0.12","3,207,185.06","1,029,464.00","3.12","China","Shenzhen Stock Exchange","CNY"
"9660","HORIZON ROBOTICS","Information Technology","Equity","3,151,953.89","0.12","3,151,953.89","5,505,600.00","0.57","China","Hong Kong Exchanges And Clearing Ltd","HKD"
